Restaurant name,Food image,Image labels,Label: Score,Yelp URLs,Address
Great China,00000000.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9734369516372681
topicality: 0.9734369516372681
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.8804892897605896
topicality: 0.8804892897605896
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7770196199417114
topicality: 0.7770196199417114
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7091797590255737
topicality: 0.7091797590255737
, mid: ""/m/07l8p5""
description: ""Side dish""
score: 0.5311752557754517
topicality: 0.5311752557754517
, mid: ""/m/020t4k""
description: ""Stuffing""
score: 0.5150415897369385
topicality: 0.5150415897369385
, mid: ""/m/04q6ng""
description: ""Comfort food""
score: 0.5146770477294922
topicality: 0.5146770477294922
]","{'Dish': '0.9934034943580627', 'Cuisine': '0.9864208102226257', 'Food': '0.9734369516372681', 'Ingredient': '0.8804892897605896', 'Recipe': '0.7770196199417114', 'Produce': '0.7091797590255737', 'Stuffing': '0.5311752557754517'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000001.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/07s28""
description: ""Tofu""
score: 0.89129638671875
topicality: 0.89129638671875
, mid: ""/m/02hr6d""
description: ""Mapo doufu""
score: 0.8216602802276611
topicality: 0.8216602802276611
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7940595149993896
topicality: 0.7940595149993896
, mid: ""/m/07_lq""
description: ""Vegetarian food""
score: 0.7924494743347168
topicality: 0.7924494743347168
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7814560532569885
topicality: 0.7814560532569885
, mid: ""/m/0500_w""
description: ""Stinky tofu""
score: 0.7517468333244324
topicality: 0.7517468333244324
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Tofu': '0.89129638671875', 'Recipe': '0.8216602802276611', 'Produce': '0.7940595149993896'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000002.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/04scj""
description: ""Meat""
score: 0.8028509616851807
topicality: 0.8028509616851807
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7152724862098694
topicality: 0.7152724862098694
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.6992565989494324
topicality: 0.6992565989494324
, mid: ""/m/03cfcjn""
description: ""Babi panggang""
score: 0.5608339309692383
topicality: 0.5608339309692383
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Meat': '0.8028509616851807', 'Recipe': '0.7152724862098694', 'Produce': '0.6992565989494324'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000003.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/0bp3f6m""
description: ""Fried food""
score: 0.8825440406799316
topicality: 0.8825440406799316
, mid: ""/m/04scj""
description: ""Meat""
score: 0.8215123414993286
topicality: 0.8215123414993286
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7814560532569885
topicality: 0.7814560532569885
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7798284888267517
topicality: 0.7798284888267517
, mid: ""/m/0f25w9""
description: ""Chicken meat""
score: 0.7057201862335205
topicality: 0.7057201862335205
, mid: ""/m/0krfg""
description: ""Meal""
score: 0.590879499912262
topicality: 0.590879499912262
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Meat': '0.8825440406799316', 'Produce': '0.8215123414993286', 'Recipe': '0.7814560532569885', 'Meal': '0.7798284888267517'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000004.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/04scj""
description: ""Meat""
score: 0.794927716255188
topicality: 0.794927716255188
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7034292817115784
topicality: 0.7034292817115784
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.6992565989494324
topicality: 0.6992565989494324
, mid: ""/m/03cfcjn""
description: ""Babi panggang""
score: 0.694598913192749
topicality: 0.694598913192749
, mid: ""/m/026j3z9""
description: ""Kakuni""
score: 0.6262897253036499
topicality: 0.6262897253036499
, mid: ""/m/0bhcrf""
description: ""Ngo hiang""
score: 0.5911177396774292
topicality: 0.5911177396774292
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Meat': '0.794927716255188', 'Recipe': '0.7034292817115784', 'Produce': '0.6992565989494324', 'Kakuni': '0.694598913192749'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000005.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9734369516372681
topicality: 0.9734369516372681
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/04scj""
description: ""Meat""
score: 0.7696598172187805
topicality: 0.7696598172187805
, mid: ""/m/01pr2g""
description: ""Peking duck""
score: 0.7305377125740051
topicality: 0.7305377125740051
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7236197590827942
topicality: 0.7236197590827942
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.628849446773529
topicality: 0.628849446773529
, mid: ""/m/07pb77""
description: ""Duck meat""
score: 0.5408894419670105
topicality: 0.5408894419670105
, mid: ""/m/03cfcjn""
description: ""Babi panggang""
score: 0.5135694742202759
topicality: 0.5135694742202759
]","{'Dish': '0.9934034943580627', 'Cuisine': '0.9864208102226257', 'Food': '0.9734369516372681', 'Ingredient': '0.9207317233085632', 'Meat': '0.7696598172187805', 'Produce': '0.7305377125740051', 'Recipe': '0.7236197590827942'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000006.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9734369516372681
topicality: 0.9734369516372681
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7814560532569885
topicality: 0.7814560532569885
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7645739316940308
topicality: 0.7645739316940308
, mid: ""/m/04scj""
description: ""Meat""
score: 0.6759613752365112
topicality: 0.6759613752365112
, mid: ""/m/08xhj_""
description: ""Jajangmyeon""
score: 0.6624112129211426
topicality: 0.6624112129211426
, mid: ""/m/07_lq""
description: ""Vegetarian food""
score: 0.6283182501792908
topicality: 0.6283182501792908
, mid: ""/m/027xxzv""
description: ""Namul""
score: 0.5825886726379395
topicality: 0.5825886726379395
]","{'Dish': '0.9934034943580627', 'Cuisine': '0.9864208102226257', 'Food': '0.9734369516372681', 'Ingredient': '0.9207317233085632', 'Produce': '0.7814560532569885', 'Recipe': '0.7645739316940308', 'Meat': '0.6759613752365112', 'Jajangmyeon': '0.6624112129211426', 'Namul': '0.6283182501792908'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000007.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.7814560532569885
topicality: 0.7814560532569885
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.7605882883071899
topicality: 0.7605882883071899
, mid: ""/m/0krfg""
description: ""Meal""
score: 0.671403169631958
topicality: 0.671403169631958
, mid: ""/m/07l8p5""
description: ""Side dish""
score: 0.6508931517601013
topicality: 0.6508931517601013
, mid: ""/m/034xzm""
description: ""Risotto""
score: 0.6055933833122253
topicality: 0.6055933833122253
, mid: ""/m/03myzy""
description: ""Upma""
score: 0.5822732448577881
topicality: 0.5822732448577881
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.9207317233085632', 'Produce': '0.7814560532569885', 'Recipe': '0.7605882883071899', 'Meal': '0.671403169631958', 'Risotto': '0.6508931517601013', 'Upma': '0.6055933833122253'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000008.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9734369516372681
topicality: 0.9734369516372681
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9447744488716125
topicality: 0.9447744488716125
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.9207317233085632
topicality: 0.9207317233085632
, mid: ""/m/0bp3f6m""
description: ""Fried food""
score: 0.908096969127655
topicality: 0.908096969127655
, mid: ""/m/03l441""
description: ""Kai yang""
score: 0.8755062222480774
topicality: 0.8755062222480774
, mid: ""/m/04scj""
description: ""Meat""
score: 0.8647531270980835
topicality: 0.8647531270980835
, mid: ""/m/037p63""
description: ""Tandoori chicken""
score: 0.8642680644989014
topicality: 0.8642680644989014
, mid: ""/m/0f25w9""
description: ""Chicken meat""
score: 0.8374204635620117
topicality: 0.8374204635620117
, mid: ""/m/06zq8mq""
description: ""Barbecue chicken""
score: 0.7743737697601318
topicality: 0.7743737697601318
]","{'Dish': '0.9934034943580627', 'Food': '0.9734369516372681', 'Cuisine': '0.9447744488716125', 'Ingredient': '0.9207317233085632', 'Meat': '0.908096969127655'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
Great China,00000009.jpg,"[mid: ""/m/02q08p0""
description: ""Dish""
score: 0.9934034943580627
topicality: 0.9934034943580627
, mid: ""/m/02wbm""
description: ""Food""
score: 0.9903261065483093
topicality: 0.9903261065483093
, mid: ""/m/01ykh""
description: ""Cuisine""
score: 0.9864208102226257
topicality: 0.9864208102226257
, mid: ""/m/07xgrh""
description: ""Ingredient""
score: 0.8915150165557861
topicality: 0.8915150165557861
, mid: ""/m/04scj""
description: ""Meat""
score: 0.8889453411102295
topicality: 0.8889453411102295
, mid: ""/m/01pr2g""
description: ""Peking duck""
score: 0.7550193667411804
topicality: 0.7550193667411804
, mid: ""/m/0p57p""
description: ""Recipe""
score: 0.6876289248466492
topicality: 0.6876289248466492
, mid: ""/m/036qh8""
description: ""Produce""
score: 0.6230939626693726
topicality: 0.6230939626693726
, mid: ""/m/07hxn""
description: ""Thai food""
score: 0.5758519172668457
topicality: 0.5758519172668457
, mid: ""/m/07pb77""
description: ""Duck meat""
score: 0.5683311820030212
topicality: 0.5683311820030212
]","{'Dish': '0.9934034943580627', 'Food': '0.9903261065483093', 'Cuisine': '0.9864208102226257', 'Ingredient': '0.8915150165557861', 'Meat': '0.8889453411102295', 'Recipe': '0.7550193667411804', 'Produce': '0.6876289248466492'}",https://www.yelp.com/biz_photos/great-china-berkeley,"2190 Bancroft Way, Berkeley, CA 94704"
